Refs,datasheet,description,docfile,footprint,keywords,prefix,value,Автор,Дата последней коррекции,Дата последней правки,Дата создани,Дата создания,Документация по ГОСТ,Мощность,Наименование,Номинал,Обозначение по ГОСТ,Поле1,Поле3,Поле4,Поле5,Процент,Рабочее напряжение,ТКЕ,ТКС
"+1,2B",,,,,,,,,,,,,,,,,,,,,,,,,
"+1,5B",,,,,,,,,,,,,,,,,,,,,,,,,
"+1,8B",,,,,,,,,,,,,,,,,,,,,,,,,
+12B,Any,,,Any,,#PWR,+12B,Хлюнев А.А.,18.02.2011 09:22,,,10.06.2010 15:27,,,Any,,Any,,Any,Any,Any,,,,
+12B_DAC,Any,,,Any,,#PWR,+12B_DAC,Хлюнев А.А.,18.02.2011 09:22,,,10.06.2010 15:27,,,Any,,Any,,Any,Any,Any,,,,
+14B,Any,,,Any,,#PWR,+14B,Хлюнев А.А.,18.02.2011 09:22,,,10.06.2010 15:27,,,Any,,Any,,Any,Any,Any,,,,
+15B,Any,,,Any,,#PWR,+15B,Хлюнев А.А.,18.02.2011 09:22,,,10.06.2010 15:27,,,Any,,Any,,Any,Any,Any,,,,
+15B1,Any,,,Any,,#PWR,+15B1,Хлюнев А.А.,18.02.2011 09:22,,,10.06.2010 15:27,,,Any,,Any,,Any,Any,Any,,,,
+18B,Any,,,Any,,#PWR,+18B,Хлюнев А.А.,17.11.2014_14:47,,,10.06.2010_15:27,,,Any,,Any,,Any,Any,Any,,,,
"+2,048B",,,,,,,,,,,,,,,,,,,,,,,,,
"+2,4B",,,,,,,,,,,,,,,,,,,,,,,,,
"+2,5B",,,,,,,,,,,,,,,,,,,,,,,,,
"+2,7B",,,,,,,,,,,,,,,,,,,,,,,,,
+24B,Any,,,Any,,#PWR,+24B,Хлюнев А.А.,18.02.2011 09:22,,,10.06.2010 15:27,,,Any,,Any,,Any,Any,Any,,,,
"+3,3B",,,,,,,,,,,,,,,,,,,,,,,,,
"+3,3B1",,,,,,,,,,,,,,,,,,,,,,,,,
"+3,3B2",,,,,,,,,,,,,,,,,,,,,,,,,
"+3,3B_ETHERNET",,,,,,,,,,,,,,,,,,,,,,,,,
"+3,3B_SD_MMC",,,,,,,,,,,,,,,,,,,,,,,,,
"+3,3B_TFT",,,,,,,,,,,,,,,,,,,,,,,,,
"+3,3B_TION",,,,,,,,,,,,,,,,,,,,,,,,,
"+3,5B",,,,,,,,,,,,,,,,,,,,,,,,,
"+3,5B1",,,,,,,,,,,,,,,,,,,,,,,,,
"+3,5B2",,,,,,,,,,,,,,,,,,,,,,,,,
